,dataset_name,target_col,reverse,alg_name,CV R2 val,CV RMSE val,CV MAE val,FCV R2 val,FCV R val,FCV RMSE val,FCV MAE val,FCV DP val,FH R2 val,FH R val,FH RMSE val,FH MAE val,FH DP val,R2 test,R test,RMSE test,MAE test,DP test,rank_R2_test,rank_RMSE_test,rank_MAE_test,rank_DP_test,rank_CV_R2_val,rank_CV_RMSE_val,rank_CV_MAE_val,rank_FCV_R2_val,rank_FCV_RMSE_val,rank_FCV_MAE_val,rank_FCV_DP_val,rank_FH_R2_val,rank_FH_RMSE_val,rank_FH_MAE_val,rank_FH_DP_val
0,steel_strength,tensile strength,True,Ridge,0.5752902541502977,0.6516975877273924,0.47703309766725277,-27.280203857177188,0.8511888352608734,0.9662644202033083,0.8522913052859092,0.6071428571428572,-273.63261385605267,0.2263983234518353,0.9524930442149102,0.7913161323288662,0.4642857142857143,-54.02110613155319,0.41492155958566534,1.3133530721490803,1.1422924726034898,0.4838709677419355,9.0,1.0,1.0,7.0,8.0,2.0,1.0,9.0,2.0,1.0,1.0,9.0,1.0,1.0,8.0
1,steel_strength,tensile strength,True,LinearRegression,0.5830189866273501,0.6457406703721316,0.45965811207796875,-5.111735932259969,0.6927251413713003,0.981055875763492,0.7888927638244906,0.5446428571428571,-203.31920725797394,0.23404691056767782,0.8215620219631175,0.571807945847114,0.5714285714285714,-38.21189032153971,0.4460618990498011,1.1087298124795306,0.9221052122841696,0.5483870967741935,7.0,3.0,3.0,6.0,7.0,3.0,3.0,1.0,1.0,5.0,6.0,6.0,4.0,6.0,7.0
2,steel_strength,tensile strength,True,LinearSVR,0.5623326366295878,0.6615643304852614,0.4714836367287283,-17.415344501015007,0.8282145102749102,0.9460198870353254,0.8216009678610957,0.6071428571428572,-258.8229088508477,0.22561314374799635,0.9264553166506302,0.7533282615696875,0.42857142857142855,-47.84586765135318,0.4034859633276686,1.2374588043650019,1.0524479014415986,0.3870967741935484,8.0,2.0,2.0,9.0,9.0,1.0,2.0,8.0,5.0,2.0,2.0,8.0,2.0,2.0,9.0
3,steel_strength,tensile strength,True,GradientBoosting,0.774139633057178,0.4752476900973028,0.32046005627680874,-9.975735882291236,0.7663697416480844,0.9288754811518491,0.7572728709627713,0.5625,-168.52468419401782,0.22928835313732077,0.7483456346925711,0.5917967595526052,0.6071428571428571,-16.393276090493487,0.22274709524025088,0.7384269374134403,0.6773455807610784,0.6129032258064516,2.0,8.0,6.0,4.0,2.0,8.0,8.0,3.0,7.0,7.0,4.0,4.0,6.0,5.0,5.0
4,steel_strength,tensile strength,True,ExtraTrees,0.8086112482049195,0.4374800015944507,0.30167331169304956,-10.912617524495097,0.7872374886777923,0.9003427078077939,0.7372120422150531,0.5446428571428572,-119.35888894265071,0.26180102760782725,0.6305577134225052,0.526065748162017,0.6785714285714286,-12.246552011249229,0.19356897840053716,0.6444188866940034,0.5834047079805943,0.6774193548387096,1.0,9.0,9.0,1.0,1.0,9.0,9.0,4.0,9.0,9.0,5.0,1.0,9.0,8.0,1.0
5,steel_strength,tensile strength,True,RandomForest,0.7723611723975037,0.47711510938398954,0.3232127228397355,-16.753272408731245,0.7743043746679528,0.9513655432432339,0.7900343366768559,0.5357142857142857,-149.91378407326576,0.2574671604427283,0.7060739877742582,0.5662587746220253,0.6428571428571429,-16.535124448580635,0.310528653032443,0.7414318905064252,0.6680109299772791,0.6774193548387096,3.0,7.0,7.0,2.0,3.0,7.0,7.0,7.0,4.0,4.0,7.0,3.0,7.0,7.0,3.0
6,steel_strength,tensile strength,True,KNeighbors,0.7514846841921327,0.49851310495098056,0.33555228205047544,-13.730551252710695,0.7797637001404865,0.9399892009142273,0.7778426424771817,0.5175438596491228,-191.64266189656573,0.15013752801209768,0.7977411463972001,0.593929616013234,0.6785714285714286,-23.86257551813886,0.17475882549159888,0.8828560417052831,0.7870224323188555,0.6774193548387096,5.0,5.0,5.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,8.0,5.0,5.0,4.0,2.0
7,steel_strength,tensile strength,True,DecisionTree,0.6400375664294242,0.5999686938254161,0.37934732098428803,-7.879075557346648,0.7761720490837496,0.9630920430701201,0.7967831881491375,0.49122807017543857,-123.8180195821063,0.2759014165635387,0.6421321306335559,0.48837044327472706,0.6428571428571429,-18.720268301542664,0.3452066338732801,0.7862727879282309,0.6345941149243861,0.5625,4.0,6.0,8.0,5.0,6.0,4.0,5.0,2.0,3.0,3.0,9.0,2.0,8.0,9.0,4.0
8,steel_strength,tensile strength,True,RbfSVR,0.6799802925205454,0.5657028437965065,0.40661225933793366,-11.71422410818945,0.7923508246485682,0.9130733485028528,0.7568402456450303,0.5982142857142857,-228.15523848552203,0.1659140226053965,0.870062903993678,0.7413384936330345,0.6071428571428571,-25.246171114538598,0.3320217554189246,0.9070888189362497,0.7957017186880659,0.4838709677419355,6.0,4.0,4.0,8.0,5.0,5.0,4.0,5.0,8.0,8.0,3.0,7.0,3.0,3.0,6.0
0,steel_strength,tensile strength,False,Ridge,0.5719452572854566,0.6542589263545002,0.485944409908672,-4.465722999912555,0.8320869492076289,0.9236406811047302,0.8187190197260249,0.5714285714285714,-273.632613856053,0.22639832345183541,0.9524930442149108,0.7913161323288669,0.39285714285714285,-54.02110613155319,0.41492155958566523,1.3133530721490803,1.1422924726034904,0.3548387096774194,9.0,1.0,1.0,5.0,8.0,2.0,1.0,6.0,6.0,2.0,5.0,9.0,1.0,1.0,8.0
1,steel_strength,tensile strength,False,LinearRegression,0.5957572666555409,0.6358008598173325,0.45595031946094056,-0.8999274925093004,0.6266036544178186,1.082068068299957,0.7639601865509145,0.5982142857142857,-203.31920725773557,0.23404691056702906,0.8215620219626382,0.5718079458447923,0.42857142857142855,-38.211890321453744,0.44606189904941695,1.1087298124783154,0.9221052122802982,0.45161290322580644,7.0,3.0,3.0,1.0,7.0,3.0,3.0,1.0,1.0,6.0,2.0,6.0,4.0,6.0,3.0
2,steel_strength,tensile strength,False,LinearSVR,0.5614953389682174,0.6621968446253597,0.46880411729928373,-3.907494222855273,0.7971661492369945,0.9252895032291802,0.801629515702804,0.5535714285714286,-259.1230797359024,0.22591732687205618,0.926990324590975,0.7535465384531113,0.42857142857142855,-47.881186557134065,0.4034276854255363,1.2379061072313824,1.0525993028246328,0.45161290322580644,8.0,2.0,2.0,2.0,9.0,1.0,2.0,5.0,5.0,3.0,7.0,8.0,2.0,2.0,4.0
3,steel_strength,tensile strength,False,GradientBoosting,0.7749270458862747,0.4744185431807291,0.3125415475768946,-3.1434278998370786,0.753618882738676,0.9201780541492267,0.7502382840457792,0.5267857142857143,-170.04595901761607,0.23248846703381598,0.7516958746662917,0.5924663302723593,0.42857142857142855,-16.09608453997422,0.21651920279641373,0.7320911622812082,0.6701551725151335,0.25806451612903225,2.0,8.0,7.0,8.0,3.0,7.0,7.0,4.0,7.0,7.0,9.0,4.0,6.0,5.0,5.0
